VALUE,COUNT,CNTYS,US_140SCLASS,GEOID10,NAME10,LABEL,DESCRIPTIO
1,2734,1985,-9999,53073,Whatcom,NODATA,NODATA
2,1092670,1985,111,53073,Whatcom,Water,Water
3,882766,1985,2,53073,Whatcom,B,Succession Class B
4,51288,1985,7,53073,Whatcom,UE,Uncharacteristic Exotic Vegetation
5,1409808,1985,3,53073,Whatcom,C,Succession Class C
6,1023106,1985,5,53073,Whatcom,E,Succession Class E
7,215918,1985,120,53073,Whatcom,Non-burnable Urban,Non-burnable Urban
8,144680,1985,121,53073,Whatcom,Burnable Urban,Burnable Urban
9,469663,1985,4,53073,Whatcom,D,Succession Class D
10,338734,1985,131,53073,Whatcom,Barren,Barren
11,936576,1985,1,53073,Whatcom,A,Succession Class A
12,327634,1985,181,53073,Whatcom,Burnable Agriculture,Burnable Agriculture
13,142502,1985,180,53073,Whatcom,Non-burnable Agriculture,Non-burnable Agriculture
14,21453,1511,-9999,53009,Clallam,NODATA,NODATA
15,2663621,1511,111,53009,Clallam,Water,Water
16,8110,1985,6,53073,Whatcom,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
17,1275119,2942,111,53055,San Juan,Water,Water
18,4252,2942,-9999,53055,San Juan,NODATA,NODATA
19,12862,1985,132,53073,Whatcom,Sparsely Vegetated,Sparsely Vegetated
20,94077,2942,2,53055,San Juan,B,Succession Class B
21,15323,2942,7,53055,San Juan,UE,Uncharacteristic Exotic Vegetation
22,34260,2942,3,53055,San Juan,C,Succession Class C
23,54768,2942,1,53055,San Juan,A,Succession Class A
24,12080,2942,4,53055,San Juan,D,Succession Class D
25,175003,2942,5,53055,San Juan,E,Succession Class E
26,145342,1985,112,53073,Whatcom,Snow / Ice,Snow / Ice
27,107893,1511,7,53009,Clallam,UE,Uncharacteristic Exotic Vegetation
28,1704812,1511,2,53009,Clallam,B,Succession Class B
29,441439,1511,3,53009,Clallam,C,Succession Class C
30,449473,1511,1,53009,Clallam,A,Succession Class A
31,467158,1511,4,53009,Clallam,D,Succession Class D
32,33221,2942,121,53055,San Juan,Burnable Urban,Burnable Urban
33,1409,2942,131,53055,San Juan,Barren,Barren
34,43519,1511,131,53009,Clallam,Barren,Barren
35,1488691,1511,5,53009,Clallam,E,Succession Class E
36,116859,1511,120,53009,Clallam,Non-burnable Urban,Non-burnable Urban
37,84605,1511,121,53009,Clallam,Burnable Urban,Burnable Urban
38,33139,2942,120,53055,San Juan,Non-burnable Urban,Non-burnable Urban
39,54256,2942,181,53055,San Juan,Burnable Agriculture,Burnable Agriculture
40,394,2942,180,53055,San Juan,Non-burnable Agriculture,Non-burnable Agriculture
41,72318,1511,181,53009,Clallam,Burnable Agriculture,Burnable Agriculture
42,8108,1511,180,53009,Clallam,Non-burnable Agriculture,Non-burnable Agriculture
43,2,2942,6,53055,San Juan,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
44,12193,1511,112,53009,Clallam,Snow / Ice,Snow / Ice
45,2935,2952,-9999,53047,Okanogan,NODATA,NODATA
46,227671,2952,131,53047,Okanogan,Barren,Barren
47,2734381,2952,1,53047,Okanogan,A,Succession Class A
48,55386,2952,132,53047,Okanogan,Sparsely Vegetated,Sparsely Vegetated
