BPS_NAME,NotAG_DEV,AG,DEV,ORIGINAL
Acadian Low-Elevation Spruce-Fir-Hardwood Forest,"9,129,393","456,988","518,196","10,104,576"
Acadian-Appalachian Alpine Tundra,"40,728",3,495,"41,226"
Acadian-Appalachian Montane Spruce-Fir Forest,"2,659,221","5,913","31,373","2,696,508"
Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,"76,085",68,418,"76,571"
Alabama Ketona Glade and Woodland,"43,718","3,073","5,467","52,258"
Allegheny-Cumberland Dry Oak Forest and Woodland,"12,945,112","2,864,528","2,104,281","17,913,921"
Apacherian-Chihuahuan Mesquite Upland Scrub,"1,064,475","16,528","20,448","1,101,451"
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,"18,558,663","188,452","294,865","19,041,979"
Appalachian (Hemlock-)Northern Hardwood Forest,"8,066,300","1,492,061","2,110,001","11,668,362"
Appalachian Shale Barrens,"2,564",2,124,"2,689"
Arkansas Valley Prairie and Woodland - Prairie,"191,846","391,005","115,771","698,623"
Arkansas Valley Prairie and Woodland - Woodland,"290,737","217,851","87,208","595,796"
Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,"80,858","4,792","2,001","87,651"
Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,"1,335,824","354,655","347,269","2,037,748"
Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,"2,435,881","427,299","929,125","3,792,305"
Atlantic Coastal Plain Mesic Hardwood Forest,"3,610,842","1,800,106","1,430,872","6,841,820"
Atlantic Coastal Plain Peatland Pocosin and Canebrake,"1,098,485","87,403","103,654","1,289,541"
Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,"509,657","19,898","35,572","565,126"
Atlantic Coastal Plain Upland Longleaf Pine Woodland,"7,092,227","5,038,605","3,092,774","15,223,606"
Bluegrass Savanna and Woodland,"44,343","218,967","40,153","303,463"
Boreal Acid Peatland Systems,"1,354,836","1,011","7,920","1,363,768"
Boreal Acidic Peatland Systems,"7,061,297","133,931","179,516","7,374,743"
Boreal Aspen-Birch Forest,"69,309","12,590","9,930","91,829"
Boreal Jack Pine-Black Spruce Forest,"750,674","1,319","16,716","768,709"
Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch,"2,815,263","181,584","229,547","3,226,394"
Boreal White Spruce-Fir-Hardwood Forest - Coastal,"939,128","128,299","178,032","1,245,459"
Boreal White Spruce-Fir-Hardwood Forest - Inland,"3,690,781","301,066","383,726","4,375,574"
California Central Valley and Southern Coastal Grassland,"468,824","302,547","601,776","1,373,147"
California Central Valley Mixed Oak Savanna,"381,516","656,380","351,416","1,389,312"
California Central Valley Riparian Woodland and Shrubland,"224,785","2,967,294","725,012","3,917,092"
California Coastal Closed-Cone Conifer Forest and Woodland,"4,941",6,991,"5,939"
California Coastal Live Oak Woodland and Savanna,"624,940","42,671","200,988","868,600"
California Coastal Redwood Forest,"2,467,450","16,485","145,837","2,629,771"
California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,"6,238,653","664,612","906,653","7,809,918"
California Maritime Chaparral,"11,330",8,"9,484","20,823"
California Mesic Chaparral,"940,538","5,911","50,336","996,785"
California Mesic Serpentine Grassland,"9,118",1,561,"9,680"
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,"3,444,164","4,310","50,562","3,499,036"
California Montane Riparian Systems,"2,083,147","87,602","342,604","2,513,353"
California Montane Woodland and Chaparral,"466,460","6,939","14,441","487,839"
California Northern Coastal Grassland,"35,052","3,010","40,171","78,233"
California Xeric Serpentine Chaparral,"33,337",291,"3,362","36,989"
Caribbean Coastal Wetland Systems,"232,469",38,778,"233,285"
Caribbean Swamp Systems,"625,118","16,984","62,726","704,828"
Central and South Texas Coastal Fringe Forest and Woodland,"869,518","70,365","211,811","1,151,694"
Central and Southern Appalachian Montane Oak Forest,"1,669,510","60,713","82,596","1,812,819"
Central and Southern Appalachian Spruce-Fir Forest,"570,091","2,247","16,541","588,878"
Central and Southern California Mixed Evergreen Woodland,"2,576,750","66,825","163,511","2,807,085"
Central and Upper Texas Coast Dune and Coastal Grassland,"68,923","1,717","20,664","91,303"
Central Appalachian Alkaline Glade and Woodland,"73,843","42,478","33,941","150,262"
Central Appalachian Dry Oak-Pine Forest,"10,119,295","1,476,483","2,938,179","14,533,957"
Central Appalachian Pine-Oak Rocky Woodland,"714,920","39,799","116,419","871,138"
Central Atlantic Coastal Plain Maritime Forest,"175,022","4,857","38,223","218,102"
Central Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,"681,598","247,973","111,513","1,041,085"
Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,"1,970,296","434,814","417,140","2,822,250"
Central Florida Pine Flatwoods,"2,689,501","1,127,091","1,491,666","5,308,258"
Central Interior and Appalachian Floodplain Systems,"8,524,692","8,697,460","3,212,630","20,434,782"
Central Interior and Appalachian Riparian Systems,"10,794,384","3,872,637","2,746,612","17,413,633"
Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,"749,628","203,228","216,712","1,169,568"
Central Interior and Appalachian Swamp Systems,"3,350,011","2,199,750","1,098,933","6,648,694"
Central Interior Highlands Calcareous Glade and Barrens,"677,268","520,255","134,838","1,332,362"
Central Interior Highlands Dry Acidic Glade and Barrens,"98,429","103,695","20,548","222,672"
Central Mixedgrass Prairie,"31,734,214","30,854,129","5,595,858","68,184,201"
Central Tallgrass Prairie,"8,799,777","41,790,902","9,078,319","59,668,998"
Chihuahuan Creosotebush Desert Scrub,"2,252,023","21,939","34,009","2,307,971"
Chihuahuan Grama Grass-Creosote Steppe,"3,222,860","28,676","60,838","3,312,373"
Chihuahuan Gypsophilous Grassland and Steppe,"1,166,377","57,220","82,154","1,305,750"
Chihuahuan Loamy Plains Desert Grassland,"6,595,103","362,166","225,116","7,182,386"
Chihuahuan Mixed Desert and Thorn Scrub,"1,821,449","3,456","6,092","1,830,998"
