"","CLASSNAME","ACRES_CURR","AG","DEV","ACRES_HIST","DIFF","PER_CHANGE"
"1","Acadian-Appalachian Alpine Tundra",40728,3,495,41226,498,1.21
"2","Acadian-Appalachian Montane Spruce-Fir Forest",2659221,5913,31373,2696508,37287,1.38
"3","Acadian-Appalachian Subalpine Woodland and Heath-Krummholz",76085,68,418,76571,486,0.63
"4","Acadian Low-Elevation Spruce-Fir-Hardwood Forest",9129393,456988,518196,10104576,975183,9.65
"5","Alabama Ketona Glade and Woodland",43718,3073,5467,52258,8540,16.34
"6","Allegheny-Cumberland Dry Oak Forest and Woodland",12945112,2864528,2104281,17913921,4968809,27.74
"7","Apacherian-Chihuahuan Mesquite Upland Scrub",1064475,16528,20448,1101451,36976,3.36
"8","Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",18558663,188452,294865,19041979,483316,2.54
"9","Appalachian (Hemlock-)Northern Hardwood Forest",8066300,1492061,2110001,11668362,3602062,30.87
"10","Appalachian Shale Barrens",2564,2,124,2689,125,4.65
"11","Arkansas Valley Prairie and Woodland - Prairie",191846,391005,115771,698623,506777,72.54
"12","Arkansas Valley Prairie and Woodland - Woodland",290737,217851,87208,595796,305059,51.2
"13","Atlantic Coastal Plain Clay-Based Carolina Bay Wetland",80858,4792,2001,87651,6793,7.75
"14","Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest",1335824,354655,347269,2037748,701924,34.45
"15","Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland",2435881,427299,929125,3792305,1356424,35.77
"16","Atlantic Coastal Plain Mesic Hardwood Forest",3610842,1800106,1430872,6841820,3230978,47.22
"17","Atlantic Coastal Plain Peatland Pocosin and Canebrake",1098485,87403,103654,1289541,191056,14.82
"18","Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall",509657,19898,35572,565126,55469,9.82
"19","Atlantic Coastal Plain Upland Longleaf Pine Woodland",7092227,5038605,3092774,15223606,8131379,53.41
"20","Bluegrass Savanna and Woodland",44343,218967,40153,303463,259120,85.39
"21","Boreal Acid Peatland Systems",1354836,1011,7920,1363768,8932,0.65
"22","Boreal Acidic Peatland Systems",7061297,133931,179516,7374743,313446,4.25
"23","Boreal Aspen-Birch Forest",69309,12590,9930,91829,22520,24.52
"24","Boreal Jack Pine-Black Spruce Forest",750674,1319,16716,768709,18035,2.35
"25","Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch",2815263,181584,229547,3226394,411131,12.74
"26","Boreal White Spruce-Fir-Hardwood Forest - Coastal",939128,128299,178032,1245459,306331,24.6
"27","Boreal White Spruce-Fir-Hardwood Forest - Inland",3690781,301066,383726,4375574,684793,15.65
"28","California Central Valley and Southern Coastal Grassland",468824,302547,601776,1373147,904323,65.86
"29","California Central Valley Mixed Oak Savanna",381516,656380,351416,1389312,1007796,72.54
"30","California Central Valley Riparian Woodland and Shrubland",224785,2967294,725012,3917092,3692307,94.26
"31","California Coastal Closed-Cone Conifer Forest and Woodland",4941,6,991,5939,998,16.8
"32","California Coastal Live Oak Woodland and Savanna",624940,42671,200988,868600,243660,28.05
"33","California Coastal Redwood Forest",2467450,16485,145837,2629771,162321,6.17
"34","California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna",6238653,664612,906653,7809918,1571265,20.12
"35","California Maritime Chaparral",11330,8,9484,20823,9493,45.59
"36","California Mesic Chaparral",940538,5911,50336,996785,56247,5.64
"37","California Mesic Serpentine Grassland",9118,1,561,9680,562,5.81
"38","California Montane Jeffrey Pine(-Ponderosa Pine) Woodland",3444164,4310,50562,3499036,54872,1.57
"39","California Montane Riparian Systems",2083147,87602,342604,2513353,430206,17.12
"40","California Montane Woodland and Chaparral",466460,6939,14441,487839,21379,4.38
"41","California Northern Coastal Grassland",35052,3010,40171,78233,43181,55.2
"42","California Xeric Serpentine Chaparral",33337,291,3362,36989,3652,9.87
"43","Caribbean Coastal Wetland Systems",232469,38,778,233285,816,0.35
"44","Caribbean Swamp Systems",625118,16984,62726,704828,79710,11.31
"45","Central and South Texas Coastal Fringe Forest and Woodland",869518,70365,211811,1151694,282176,24.5
"46","Central and Southern Appalachian Montane Oak Forest",1669510,60713,82596,1812819,143309,7.91
"47","Central and Southern Appalachian Spruce-Fir Forest",570091,2247,16541,588878,18787,3.19
"48","Central and Southern California Mixed Evergreen Woodland",2576750,66825,163511,2807085,230335,8.21
"49","Central and Upper Texas Coast Dune and Coastal Grassland",68923,1717,20664,91303,22380,24.51
"50","Central Appalachian Alkaline Glade and Woodland",73843,42478,33941,150262,76419,50.86
"51","Central Appalachian Dry Oak-Pine Forest",10119295,1476483,2938179,14533957,4414662,30.37
"52","Central Appalachian Pine-Oak Rocky Woodland",714920,39799,116419,871138,156218,17.93
"53","Central Atlantic Coastal Plain Maritime Forest",175022,4857,38223,218102,43080,19.75
